Algorithm,Number_of_Features,cross_validation_accuracy_mean,cross_validation_accuracy_std,test_accuracy_mean,test_accuracy_std,specificity_mean,specificity_std,sensitivity_mean,sensitivity_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,aupr_mean,aupr_std,best_param_fold_1,best_param_fold_2,best_param_fold_3,best_param_fold_4,best_param_fold_5
LR,1,69.14,5.73,70.62,13.46,58.88,48.12,51.37,44.81,10.04,20.09,50.37,41.79,58.76,16.72,75.81,19.24,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 0.1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 1}"
LR,2,69.3,4.78,70.1,12.99,72.56,38.12,46.69,39.44,21.17,19.21,50.26,39.44,65.78,8.52,72.8,21.1,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 10}"
LR,3,69.09,4.41,70.35,13.04,65.13,40.08,49.6,41.38,17.76,16.45,51.04,39.99,67.07,9.57,74.89,21.28,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 10}"
LR,4,68.9,5.25,65.28,16.6,65.94,42.15,41.09,43.26,12.05,8.05,42.05,39.35,67.41,9.75,74.79,20.7,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 0.1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 10}"
LR,5,68.7,5.04,65.28,16.6,69.1,40.0,40.11,42.25,13.68,10.18,41.88,39.18,67.36,9.99,74.81,21.23,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 0.1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 10}"
LR,6,68.1,6.23,69.89,13.03,67.98,39.24,47.81,40.49,19.25,15.77,50.41,38.87,68.08,9.92,75.34,21.07,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 10}"
LR,7,67.95,6.22,71.01,13.8,71.51,38.29,48.06,41.07,22.98,19.76,50.94,39.48,69.01,10.51,75.41,21.18,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 10}"
LR,8,67.37,5.1,69.78,13.68,70.16,38.35,46.9,40.45,19.32,18.06,49.94,38.87,67.77,10.21,74.63,21.2,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 1}"
LR,9,66.7,5.51,70.13,13.2,70.46,38.58,47.27,40.16,21.37,16.9,50.55,38.31,67.9,10.12,75.09,20.91,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 1}"
LR,10,66.7,5.57,69.98,13.11,70.46,38.58,47.07,40.03,20.81,17.42,50.41,38.22,67.94,10.21,75.15,20.87,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.0683760683760684), np.int64(1): np.float64(0.9398496240601504)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.7142857142857142), np.int64(1): np.float64(0.7058823529411765)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2485955056179776), np.int64(1): np.float64(0.8339587242026266)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.2406716417910448), np.int64(1): np.float64(0.8375314861460957)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.344155844155844), np.int64(1): np.float64(0.7961538461538461)}, 'C': 1}"
